cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,postal_code,state_code
31341042,0.0,13,5,0,F,1,78473,TX
19080432,78772.4,45,5,6,M,3,97248,OR
28625835,3853.5,39,6,3,F,2,92821,CA
25894131,4180.2,49,6,0,F,1,37209,TN
14998027,95418.4,59,9,2,M,2,23463,VA
20438595,61197.0,41,8,4,M,2,10161,NY
28615944,6442.0,47,5,6,M,4,90750,CA
31337431,0.0,14,6,0,M,1,77058,TX
14994111,58193.3,42,2,2,F,3,77044,TX
17724122,16538.6,45,12,2,F,1,90045,CA
28618737,3761.5,33,3,4,F,2,98165,WA
29985384,129903.4,60,10,0,M,1,78204,TX
21805200,26608.4,18,6,1,F,1,94174,CA
19084100,0.0,15,7,1,F,1,94150,CA
25888032,1257.4,44,11,0,F,1,40205,KY
25896943,0.0,22,4,0,F,1,19136,PA
19087362,30451.4,65,5,1,M,2,80228,CO
16353660,971.5,81,11,3,F,3,10105,NY
23178718,5765.2,70,6,0,F,4,10194,NY
27268320,29538.0,31,3,3,F,2,90122,CA
25893618,2612.5,24,3,0,M,1,60625,IL
21806544,256271.6,43,6,2,F,3,60650,IL
13626360,10250.0,70,10,1,M,1,20175,DC
13633130,19639.0,26,5,2,F,2,77159,TX
16356228,6842.0,36,6,5,F,2,85032,AZ
21808256,107424.2,54,7,2,M,2,90095,CA
31347827,0.0,16,1,0,M,1,92178,CA
25900876,4425.9,56,3,1,F,2,60622,IL
17713514,0.0,13,5,2,F,1,19152,PA
24532740,0.0,19,2,2,M,1,78707,TX
29988398,19793.4,28,7,2,M,2,78734,TX
23171170,3141.0,23,4,0,M,1,80243,CO
14996696,37295.5,54,4,2,M,2,55422,MN
13631170,38736.0,49,8,6,M,4,32228,FL
24538734,23884.2,52,0,3,M,2,07303,NJ
24541344,65885.4,67,5,2,M,2,10276,NY
21814208,198577.6,56,9,2,M,2,48202,MI
29976936,13978.8,71,11,0,M,2,98137,WA
27268520,74372.0,36,8,0,M,1,87137,NM
20442585,64972.5,38,5,5,M,3,21231,MD
24536286,0.0,18,1,2,F,1,23541,VA
31350679,27188.3,29,8,0,M,2,90081,CA
24538896,40964.4,32,0,4,F,2,90110,CA
20444175,20851.5,81,8,2,F,2,10167,NY
16352064,3427.0,53,3,4,F,2,77036,TX
28621320,1214.0,81,1,1,F,1,15263,PA
16351452,693.6,64,4,3,F,3,85216,AZ
25903156,2811.0,41,8,1,F,4,90016,CA
13627660,102286.0,57,7,3,F,3,60606,IL
21810576,32656.0,31,4,3,F,2,80986,CO
23171187,64076.1,60,6,0,M,4,10145,NY
25898710,0.0,21,3,0,F,1,78738,TX
17717180,0.0,11,10,2,F,1,90105,CA
29989454,158826.8,37,7,0,M,1,75310,TX
16359648,3103.8,91,11,3,F,4,90180,CA
23168535,1625.2,39,5,0,F,2,78404,TX
13633980,13811.0,51,1,1,F,3,68108,NB
23168127,78812.8,57,3,0,M,1,32272,FL
31360362,61750.4,67,1,0,F,2,77292,TX
27252080,56408.0,40,2,0,F,1,90152,CA
21806944,28792.4,52,5,2,F,2,97237,OR
21808208,11531.0,65,8,1,F,2,10101,NY
31343089,27475.8,60,0,0,F,4,38132,TN
19074832,9916.2,78,8,1,F,2,90159,CA
25904315,439.7,93,10,0,F,2,74146,OK
23163435,18884.6,62,7,0,M,2,94161,CA
25889286,13149.0,58,5,2,M,2,77083,TX
29977420,21124.4,84,14,0,M,2,96846,HI
21803680,33768.8,37,10,4,F,4,98112,WA
14996322,55774.4,57,7,3,M,2,90029,CA
23176933,5408.1,48,4,2,M,2,02149,MA
25902111,8418.3,58,5,1,M,2,77105,TX
13628960,44758.0,54,3,2,F,2,10126,NY
13626880,23896.0,35,5,2,M,2,97203,OR
23167532,13250.7,44,10,3,M,2,98165,WA
17718623,40352.0,56,3,2,F,2,98162,WA
16352832,4275.2,45,5,3,F,1,20353,DC
13634220,42532.0,40,10,3,M,2,80268,CO
28630938,6663.7,36,6,4,M,2,92173,CA
23164064,46167.0,48,4,0,F,2,45455,OH
27261660,45360.0,64,6,0,M,1,33249,FL
13629040,18891.0,70,10,1,M,3,46227,IN
23163656,0.0,21,2,0,M,1,90112,CA
31345573,118698.4,39,4,0,M,1,77036,TX
23162432,0.0,18,3,0,M,1,77058,TX
27259620,32552.0,40,2,3,F,4,60636,IL
17723862,7971.6,17,3,2,M,1,44126,OH
24534972,17528.4,58,6,3,F,2,53277,WI
17713462,34791.9,27,4,4,F,2,10161,NY
28615398,1471.7,41,1,2,F,4,92705,CA
25906044,1884.0,38,5,2,F,2,43272,OH
17719559,27092.0,38,5,3,M,2,20126,DC
20450100,0.0,18,7,2,M,1,90106,CA
13634830,9271.0,29,7,1,M,2,20271,DC
29979862,17109.4,23,8,0,F,1,90191,CA
13630710,1565.0,83,3,1,F,2,79931,TX
14991790,0.0,16,8,2,F,1,97248,OR
25898824,2293.7,72,9,0,M,2,10084,NY
17725084,47999.9,49,5,3,F,3,40561,KY
27259700,22970.0,70,2,0,F,2,46288,IN
17724941,112767.2,53,10,2,M,2,23463,VA
23174298,17235.2,60,6,1,F,3,64136,MO
31348425,83559.0,46,6,1,M,2,68180,NB
14994848,103535.3,53,3,4,M,2,60607,IL
16355520,12104.8,62,12,4,M,2,28223,NC
14996234,32489.6,45,5,2,F,2,92508,CA
24532848,15435.0,54,2,3,F,2,77095,TX
24541902,7531.2,29,6,3,F,2,78468,TX
31341939,6026.0,22,1,0,M,1,19107,PA
21805712,21028.8,84,7,1,M,1,53264,WI
31349851,18991.1,29,8,0,F,2,19150,PA
14992175,16584.7,76,6,2,F,2,21214,MD
31356682,0.0,17,2,0,F,1,55113,MN
14988545,32165.1,60,7,4,F,2,77083,TX
24536844,23666.4,50,8,2,M,1,44101,OH
31359557,27471.2,40,0,1,M,2,97203,OR
13628260,0.0,16,1,1,F,1,94174,CA
16350420,5575.1,49,8,7,F,4,10181,NY
13630870,3400.0,19,4,1,F,1,74186,OK
16360860,5582.4,26,5,5,F,2,90013,CA
20441490,153429.0,61,8,4,F,3,60606,IL
19087180,9380.0,24,3,1,M,1,10083,NY
29989850,0.0,21,6,0,F,1,92817,CA
13633520,5772.0,19,4,1,M,1,77086,TX
19082938,31809.4,54,3,3,F,2,60606,IL
24535782,0.0,17,0,2,F,1,96849,HI
31339041,70527.2,56,6,1,F,2,90112,CA
19078696,36362.2,58,8,2,M,2,94103,CA
19085262,52413.2,63,3,1,M,2,10079,NY
24533946,0.0,19,2,2,F,1,19136,PA
16351152,0.0,18,3,3,F,1,77083,TX
28629258,11822.2,39,9,3,M,2,60606,IL
13625280,6618.0,40,10,1,F,1,40205,KY
16361592,0.0,18,10,3,F,1,92510,CA
23169215,18734.8,61,7,1,M,2,10126,NY
24531498,0.0,15,5,2,F,1,90105,CA
31347298,14901.7,65,5,0,F,2,45246,OH
16359144,10422.5,57,7,4,F,2,07303,NJ
31340099,16111.5,77,7,0,F,3,76164,TX
29977244,69291.2,30,9,1,F,3,90120,CA
14996146,9265.3,40,6,2,F,2,45219,OH
29987562,3443.0,87,7,0,F,2,79931,TX
16355880,0.0,19,4,3,F,1,77140,TX
24529212,59418.0,57,5,2,F,2,63169,MO
24538266,103003.2,37,5,4,M,2,78784,TX
27269480,6678.0,20,7,0,F,1,94239,CA
13628540,0.0,16,1,1,M,1,07117,NJ
13633230,57882.0,40,10,1,F,1,19113,PA
23170864,17419.1,45,1,0,F,1,85036,AZ
24533820,0.0,18,1,2,F,1,77140,TX
16359876,12155.2,42,12,3,F,1,19113,PA
21810640,39782.6,69,10,1,M,2,64115,MO
29974714,14531.0,76,6,0,M,2,90159,CA
23178021,6493.7,85,1,0,M,4,32284,FL
17719936,9743.5,84,11,2,M,2,79931,TX
14995288,2971.1,72,2,2,F,2,60624,IL
25900629,4961.3,41,8,0,M,2,37215,TN
13633310,31054.0,56,6,3,M,2,55113,MN
23166784,33844.3,59,4,0,F,1,90172,CA
28613592,1681.0,34,4,3,F,3,92513,CA
27269600,16076.0,22,3,0,F,1,21257,MD
24540588,112021.2,32,0,5,F,2,10236,NY
23172921,21415.7,43,2,3,M,2,90048,CA
13625560,56088.0,47,7,1,M,1,28215,NC
14994287,42609.6,50,9,7,M,4,32228,FL
27251940,24212.0,19,6,0,M,1,77083,TX
27261320,6480.0,64,3,0,M,1,92708,CA
31353002,49183.2,58,7,1,F,2,92817,CA
29990576,5942.2,75,5,0,F,2,60624,IL
21800400,16380.0,77,10,1,F,1,60613,IL
16350696,0.0,18,10,3,M,1,94654,CA
28631820,4697.5,33,3,1,F,1,48206,MI
25898444,8945.8,48,5,1,F,2,10171,NY
23167821,11135.6,58,4,2,F,2,60654,IL
28633206,8387.8,42,2,6,F,4,96802,HI
23175998,20970.6,48,4,0,F,2,92508,CA
25892326,2310.0,40,7,3,F,4,92804,CA
21803376,33784.4,26,8,2,F,4,90009,CA
24542910,35350.2,38,3,5,F,3,94174,CA
31345435,169705.5,43,2,3,M,4,95184,CA
16359912,15936.9,43,3,3,M,3,90173,CA
13626210,3303.0,62,2,1,F,3,85216,AZ
27267680,109294.0,48,10,0,M,1,76129,TX
19081664,28250.6,50,10,2,F,2,68180,NB
31345067,113971.9,53,3,1,F,2,15279,PA
19083050,17584.0,47,7,2,M,2,10171,NY
27263560,62440.0,34,6,0,M,1,28230,NC
14994100,13858.9,39,5,2,M,1,02158,MA
16357056,6084.8,57,7,5,M,2,78738,TX
29992204,56823.8,34,13,0,F,1,20129,DC
27252180,3858.0,79,10,0,F,2,96846,HI
25890692,0.0,18,7,0,M,1,90750,CA
29993590,120368.6,60,10,1,F,2,85734,AZ
13631020,18183.0,34,4,4,F,2,90145,CA
19079704,8288.0,67,7,1,F,3,38166,TN
29991632,199302.4,55,5,0,M,2,90186,CA
17718012,6245.2,70,7,2,M,2,21214,MD
25895157,5618.3,54,5,0,F,1,75256,TX
16356564,3127.1,46,6,7,M,2,73179,OK
13630040,19319.0,25,4,1,M,2,75328,TX
31346838,84352.5,36,6,2,M,2,93702,CA
31354750,91434.2,57,7,2,M,2,90174,CA
29982128,152750.4,63,13,2,F,2,94174,CA
13624860,10701.0,77,7,1,F,3,75230,TX
21807776,108290.0,30,3,4,M,3,02172,MA
20451855,130116.0,62,9,2,M,2,23463,VA
16353096,2516.2,36,6,3,F,1,38177,TN
20439150,14403.0,84,11,2,M,2,96846,HI
27250260,56116.0,32,4,2,F,4,10070,NY
31360132,23561.2,52,2,0,F,1,55481,MN
14996828,39884.9,47,7,4,F,2,02149,MA
17720599,73299.2,31,5,4,M,4,60648,IL
20439945,43545.0,49,6,2,M,1,77151,TX
25897418,5009.2,46,3,2,M,2,46261,IN
19081944,32691.4,52,2,3,F,2,19136,PA
19083820,22733.2,34,4,3,M,4,40213,KY
21807040,0.0,17,5,1,F,1,10047,NY
27257600,0.0,13,7,0,M,1,97254,OR
19076274,37710.4,65,5,1,F,1,44114,OH
14987324,11058.3,44,4,2,F,1,80275,CO
19080964,9070.6,66,6,1,F,2,45246,OH
19083778,0.0,17,2,1,F,1,23541,VA
13632320,9614.0,66,6,1,F,2,10079,NY
28623063,1673.3,69,9,1,M,2,10146,NY
14993583,60567.1,32,2,2,M,1,21254,MD
25895784,1629.2,57,4,1,F,2,77095,TX
28620228,3124.2,34,4,4,F,2,60621,IL
29976210,58515.6,62,11,0,M,2,94161,CA
19077618,10403.4,38,8,2,F,2,97203,OR
16349952,0.0,16,5,3,M,1,77058,TX
25906367,5712.9,74,7,0,M,2,77292,TX
16361208,8624.5,60,10,3,M,1,10149,NY
21799696,54223.0,36,9,3,F,2,10209,NY
23168484,23931.3,61,7,1,M,2,07117,NJ
13626690,0.0,14,6,1,F,1,90750,CA
19087446,2539.6,19,4,1,F,1,48202,MI
24530094,29102.4,51,9,2,M,1,79917,TX
13633990,1591.0,26,5,1,M,1,90168,CA
27269220,46216.0,69,11,0,F,2,55177,MN
21801408,16520.4,66,9,1,M,2,98137,WA
31341387,0.0,13,5,0,F,1,90750,CA
14992296,9432.5,54,4,3,F,2,77095,TX
13634030,37364.0,53,3,2,F,4,43688,OH
20438145,115983.0,41,8,4,M,2,10152,NY
20446995,19234.5,71,8,2,F,1,74168,OK
28627158,12621.8,57,7,3,M,2,94225,CA
19084548,141647.8,51,1,1,F,2,90128,CA
25905854,0.0,20,9,0,F,1,92510,CA
29995130,0.0,21,6,0,F,1,45275,OH
13632030,82612.0,57,7,2,M,2,60622,IL
14996597,13541.0,42,2,2,F,1,92811,CA
25892497,4027.6,55,2,1,F,2,94103,CA
21801936,8587.8,61,4,1,F,3,85216,AZ
17716738,0.0,11,3,2,F,1,94174,CA
14998126,0.0,17,9,2,F,1,92510,CA
24531192,0.0,19,2,2,M,1,02171,MA
29991214,125892.8,40,10,2,M,2,78784,TX
23176474,47520.3,63,9,0,F,2,46240,IN
31344239,66976.0,36,6,2,M,3,90027,CA
14989051,3760.9,30,9,2,F,1,45471,OH
27265260,26538.0,50,2,1,M,2,07303,NJ
31339915,39001.1,34,4,0,F,2,37229,TN
17715880,56798.3,64,11,2,M,2,90067,CA
19082098,31411.8,65,5,1,M,2,78277,TX
